,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,5532400000,,4511800000,697900000,8115800000,4600300000,4600300000,2427100000,-1984600000,,,,1042400000,15430300000,10830000000,7314500000,932100000,,4490000000,4511800000
1,2020-06-30,,,-729600000,,-706500000,783900000,1842200000,-404700000,-404700000,1041000000,-2373600000,,,,-14400000,5486300000,5891000000,3644100000,-324900000,,-715200000,-706500000
2,2020-03-31,,,471943000,184082000,-18577783000,2098709000,7361707000,2991515000,2991515000,1670753000,-1299619000,,,,19073343000,16942022000,13950507000,9580315000,-2519572000,,-18601400000,-18577783000
3,2019-12-31,,,5542600000,184082000,4140100000,867900000,5739200000,1837600000,1837600000,2588300000,-2375500000,,,,1411600000,13418700000,11581100000,7679500000,3705000000,,4131000000,4140100000
