,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,6420800000,,4706200000,2336000000,11748400000,6230300000,6230300000,2500300000,-2700000,,,,1714600000,17014400000,10784100000,5266000000,190500000,,4706200000,4706200000
1,2020-09-30,,,6934900000,,5195900000,1931800000,11730300000,6956400000,6956400000,2230800000,-1600000,,,,1739000000,17493000000,10536600000,5762700000,-21500000,,5195900000,5195900000
2,2020-06-30,,,6609800000,,4920600000,1839000000,10906300000,6438800000,6438800000,2066500000,-2300000,,,,1689200000,17304700000,10865900000,6398400000,171000000,,4920600000,4920600000
3,2020-03-31,,,4709600000,,3882300000,1837700000,7373400000,3979700000,3979700000,1052500000,-2300000,,,,827300000,13897600000,9917900000,6524200000,729900000,,3882300000,3882300000
