,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,48205000,,616019000,82306000,539642000,313039000,1099271000,598993000,598993000,,-6386000,,,,74265000,2616599000,2017606000,1517328000,17026000,,541754000,539642000
1,2020-09-30,47216000,,560004000,76842000,423926000,318368000,1033266000,541581000,541581000,,-7151000,,,,134547000,2506647000,1965066000,1473381000,18423000,,425457000,423926000
2,2020-06-30,45114000,,510704000,74699000,386338000,291063000,939401000,483539000,483539000,,-13153000,,,,122711000,2355545000,1872006000,1416144000,27165000,,387993000,386338000
3,2020-03-31,46135000,,528979000,75183000,431408000,327878000,1020253000,530857000,530857000,,-17055000,,,,96449000,2543410000,2012553000,1523157000,-1878000,,432530000,431408000
