,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,75579900000,92566000000,54981500000,26583800000,273421200000,0,75579900000,171257500000,,,,,15382100000,273421200000,197841300000,0,0,,60197800000,54981500000
1,2020-09-30,,,68727100000,84828600000,48823300000,27319300000,253265200000,0,68727100000,157218800000,,,,,14463800000,253265200000,184538100000,0,0,,54263300000,48823300000
2,2020-06-30,,,45873000000,78630500000,31176800000,49792700000,244377200000,0,101373000000,93211500000,,,,,10003900000,244377200000,143004200000,0,-55500000000,,35869100000,31176800000
3,2020-03-31,,,19774680000,67947696000,12513178000,141884414000,224954518000,0,19747430000,63208544000,,,,,3642500000,224954518000,205207088000,0,27250000,,16132180000,12513178000
