,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,-1220200000,,-916200000,3281800000,3670300000,0,-1220200000,1608700000,,,,,-304000000,3670300000,4890500000,0,0,,-916200000,-916200000
1,2020-09-30,,,875700000,,650900000,3059800000,5766100000,0,875700000,1830600000,,,,,224800000,5766100000,4890400000,0,0,,650900000,650900000
2,2020-06-30,,,1106000000,,816500000,2803000000,5787900000,0,1106000000,1878900000,,,,,289500000,5787900000,4681900000,0,0,,816500000,816500000
3,2020-03-31,,,-1903804000,,-1436904000,6759589000,2661734000,0,-1903804000,-2203834000,,,,,-466900000,2661734000,4565538000,0,0,,-1436904000,-1436904000
