,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,retainedEarnings,shortLongTermDebt
0,2020-12-31,-32272600000,-34602000000,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,-32272600000,-34602000000,2253100000.0,99034200000.0,-593300000.0,21183800000.0,66168300000.0,16451000000.0,10830900000.0,1147600000.0,76300000.0,-48723600000.0,835600000.0,1622600000.0,36205100000.0,-48723600000.0,11004400000.0,47921200000.0,4077700000.0,1175400000.0,14086300000.0,61121200000.0,20206000000.0,11997200000.0,,,
2,2020-06-30,-109829400000,-112703700000,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,-109829400000,-112703700000,2798000000.0,175721900000.0,-589000000.0,20445400000.0,65303500000.0,10639500000.0,10354800000.0,1221800000.0,76300000.0,-4621100000.0,3701200000.0,575900000.0,165451700000.0,-4621100000.0,11585100000.0,46945500000.0,197400000.0,1076000000.0,14079700000.0,8417700000.0,20555900000.0,12981800000.0,92391000000.0,-208238800000.0,34512300000.0
