,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,-1178100000,,-1170700000,1308600000,4571900000,1189900000,1189900000,1507600000,-1945100000,,,,2500000,9375200000,8185300000,4803300000,-2368000000,,-1180600000,-1170700000
1,2020-09-30,,,6769300000,-593300000,6757700000,1412200000,3901300000,661600000,661600000,1138100000,-1973600000,,,,21700000,7245100000,6583500000,3343800000,6107700000,,6747600000,6757700000
2,2020-06-30,,,-3977600000,-593300000,-3978700000,1588900000,3560800000,460900000,460900000,802900000,-4078200000,,,,11000000,5126700000,4665800000,1565900000,-4438500000,,-3988600000,-3978700000
3,2020-03-31,,,-8288600000,-589000000,-8235300000,2379400000,1909800000,-739600000,-739600000,366200000,-2639800000,,,,53600000,6433900000,7173500000,4524100000,-7549000000,,-8342200000,-8235300000
