,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,deferredLongTermLiab,retainedEarnings,shortLongTermDebt
0,2020-12-31,236924000000,184383000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,236924000000,184383000000,15926000000.0,141443000000.0,4129000000.0,52116000000.0,382496000000.0,4362000000.0,28883000000.0,30372000000.0,36615000000.0,232562000000.0,46711000000.0,44353000000.0,99863000000.0,9021000000.0,232562000000.0,37599000000.0,238984000000.0,6661000000.0,101241000000.0,64230000000.0,2148000000.0,277000000.0,30035000000.0,,,,
2,2020-06-30,218131000000,169194000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,218131000000,169194000000,15060000000.0,151471000000.0,3933000000.0,35908000000.0,373535000000.0,4830000000.0,21960000000.0,31888000000.0,33877000000.0,7177000000.0,51122000000.0,30167000000.0,109257000000.0,8443000000.0,7648000000.0,38840000000.0,231723000000.0,2913000000.0,11572000000.0,117237000000.0,1787000000.0,358000000.0,32566000000.0,9208000000.0,9724000000.0,196916000000.0,425000000.0
