,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,17164000000,,13098000000,,34786000000,15371000000,15371000000,15831000000,-421000000,,,,4263000000,96471000000,81100000000,61685000000,1793000000,,12901000000,13098000000
1,2020-09-30,,,14093000000,4129000000,10646000000,,33221000000,13313000000,13313000000,16191000000,-399000000,,,,3462000000,93718000000,80405000000,60497000000,780000000,,10631000000,10646000000
2,2020-06-30,,,12832000000,4129000000,9723000000,,29851000000,9173000000,9173000000,16846000000,-503000000,,,,3276000000,91063000000,81890000000,61212000000,3659000000,,9556000000,9723000000
3,2020-03-31,,,9656000000,3933000000,8039000000,3485000000,29072000000,9888000000,9888000000,10545000000,-3498000000,,,,2392000000,97754000000,85014000000,65830000000,-232000000,,7264000000,8039000000
