,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2018-06-30,,,7291800000,,5383800000,1612000000,9020400000,0,7291800000,,,,,,1893500000,12294900000,5003100000,3274500000,0,,5398300000,5383800000
1,2018-03-31,,,5579500000,1231400000,4059900000,1452800000,7179300000,0,5594600000,,,,,,1504100000,10265800000,4671200000,3086500000,-15100000,,4075400000,4059900000
2,2017-12-31,,,4493000000,1231400000,3840900000,1336400000,5945300000,0,4480400000,,,,,,635800000,8486400000,4006000000,2541100000,12600000,,3857200000,3840900000
3,2017-09-30,,,3848300000,1204000000,3602400000,1140800000,5117400000,0,3854800000,,,,,,230100000,7273300000,3418500000,2155900000,-6500000,,3618200000,3602400000
