,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,deferredLongTermLiab,retainedEarnings,shortLongTermDebt
0,2020-12-31,505752000000,-191514100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,505752000000,-191514100000,689489100000.0,2561171700000.0,14617700000.0,575836700000.0,3081541400000.0,7195400000.0,63601100000.0,300142600000.0,7777000000.0,498556600000.0,88230300000.0,242086100000.0,1356299100000.0,48917200000.0,498556600000.0,927672700000.0,1060099000000.0,106136700000.0,183588000000.0,113228200000.0,853333700000.0,334173000000.0,531452900000.0,,,,
2,2020-06-30,630785300000,-68931700000,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,630785300000,278400600000,344614100000.0,2582291700000.0,8135600000.0,307938800000.0,3221212600000.0,7194900000.0,45932500000.0,292965600000.0,7770600000.0,38667900000.0,522571000000.0,184678000000.0,1404540500000.0,54579000000.0,38667900000.0,927577300000.0,1195872500000.0,54469400000.0,248578300000.0,171249000000.0,833156200000.0,374568800000.0,636268800000.0,218728900000.0,347332300000.0,366193600000.0,191323700000.0
