,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,12483200000,,38866600000,,29064500000,75622400000,310227300000,53808600000,53808600000,107025600000,-21259300000,,,,9451800000,756537900000,702729300000,446310600000,-14942000000,,29414800000,29064500000
1,2020-09-30,10111800000,,-7786500000,14617700000,-3144500000,64089900000,232513100000,638400000,638400000,101658300000,-19496000000,,,,-4713900000,535300000000,534661600000,302786900000,-8424900000,,-3072600000,-3144500000
2,2020-06-30,10949200000,,-62434900000,14617700000,-84379900000,56942600000,148423300000,-49638100000,-49638100000,74175900000,-18768100000,,,,22004900000,319830600000,369468700000,171407300000,-12796800000,,-84439800000,-84379900000
3,2020-03-31,12864600000,,-95054500000,8135600000,-98942500000,153129700000,271187500000,-14579300000,-14579300000,61623900000,-9431400000,,,,3583000000,631056100000,645635400000,359868600000,-80475200000,,-98637500000,-98942500000
