,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,21583500000,,18524800000,17204500000,65033900000,18025700000,18025700000,24484300000,-261000000,,,,2449400000,88367800000,70342100000,23333900000,3557800000,,19134100000,18524800000
1,2020-09-30,,,21998400000,31811600000,18127900000,17052900000,64068000000,18110400000,18110400000,23918700000,-332800000,,,,2570800000,85531300000,67420900000,21463300000,3888000000,,19427600000,18127900000
2,2020-06-30,,,-21803200000,31811600000,-16556000000,17590400000,56156500000,12684300000,12684300000,20922600000,-519500000,,,,2459100000,75852500000,63168200000,19696000000,-34487500000,,-24262300000,-16556000000
3,2020-03-31,,,5758500000,38602400000,3998400000,16881300000,54309500000,9801000000,9801000000,21873400000,-517800000,,,,830900000,81849400000,72048400000,27539900000,-4042500000,,4927600000,3998400000
