,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,984700000,,679000000,3427000000,6980100000,1614000000,1614000000,1322900000,-697700000,,,,268300000,11846800000,10232800000,4866700000,-629300000,,716400000,679000000
1,2020-09-30,,,1106500000,595700000,692100000,2902700000,6560600000,1815300000,1815300000,1229800000,-724000000,,,,383700000,10899600000,9084300000,4339000000,-708800000,,722800000,692100000
2,2020-06-30,,,288400000,595700000,194700000,2127200000,4496900000,950400000,950400000,807500000,-746200000,,,,91000000,7634600000,6684200000,3137700000,-662000000,,197400000,194700000
3,2020-03-31,,,-676414000,562280000,-104028000,9270853000,4860043000,156889000,156889000,-5227200000,-281589000,,,,-569929000,11763935000,11607046000,6903892000,-833303000,,-106485000,-104028000
