,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,retainedEarnings,shortLongTermDebt
0,2020-12-31,55697400000,53410500000,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,55697400000,53410500000,469100000.0,58603300000.0,595700000.0,11607800000.0,114896400000.0,3099000000.0,7333400000.0,7940500000.0,1817800000.0,52598400000.0,14630200000.0,117900000.0,28026000000.0,52598400000.0,71207900000.0,22992900000.0,3778500000.0,17700000.0,6905800000.0,22578800000.0,8618100000.0,10535000000.0,,,
2,2020-06-30,54980300000,52607000000,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,54980327000,52690204000,472342000.0,61153605000.0,562280000.0,4481464000.0,116696212000.0,3098960000.0,6374192000.0,8191367000.0,1817781000.0,694764000.0,16331410000.0,431596000.0,28778459000.0,694764000.0,72114636000.0,23823615000.0,2136428000.0,11922000.0,7799634000.0,24111476000.0,9023312000.0,12197863000.0,15033118000.0,36153485000.0,4295824000.0
