,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,3028500000,,2482100000,4834700000,29305200000,10113000000,10113000000,6974600000,-9655600000,,,,694800000,75979100000,65866100000,46673900000,-7084500000,850400000,2333700000,2482100000
1,2020-09-30,,,6506600000,25344600000,2796100000,5599500000,31598200000,13023200000,13023200000,5986700000,-10649800000,,,,2605000000,82898100000,69874900000,51299900000,-6516600000,-192300000,3901600000,2796100000
2,2020-06-30,,,4469700000,25344600000,2066200000,4052500000,26546100000,10867900000,10867900000,5180800000,-10893600000,,,,1560900000,64529900000,53662000000,37983800000,-6398200000,-227800000,2908800000,2066200000
3,2020-03-31,,,10934400000,23320400000,4170800000,3942800000,17696300000,10094400000,10094400000,-3213900000,-9194700000,,,,2324700000,66208000000,56113600000,48511700000,840000000,-3717800000,8609700000,2460800000
