,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,28480300000,,22546600000,2244800000,79770500000,33823900000,33823900000,35006800000,-7282600000,,,,4158300000,105329900000,71506000000,25559400000,-5343600000,,24322000000,22546600000
1,2020-09-30,,,11788900000,4279400000,-7724200000,2276900000,60992700000,18518100000,18518100000,31469000000,-7981300000,,,,2755900000,90122200000,71604100000,29129500000,-6729200000,-16151700000,9033000000,-7724200000
2,2020-06-30,,,4011900000,4279400000,1831000000,2800900000,55824100000,14053000000,14053000000,29152100000,-10041100000,,,,1336100000,92818800000,78765800000,36994700000,-10041100000,-16151700000,2675800000,1831000000
3,2020-03-31,,,3703500000,-7764400000,4062100000,3105900000,61002200000,16266900000,16266900000,34935300000,-8522900000,,,,647300000,87569300000,71302400000,26567100000,-12563400000,-16151700000,3056200000,4062100000
