,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,retainedEarnings,shortLongTermDebt
0,2020-12-31,269415300000,236977100000,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,269415300000,236977100000,26340000000.0,535499500000.0,4279400000.0,192801600000.0,809194200000.0,1020000000.0,122127500000.0,51473200000.0,6098200000.0,268395300000.0,12412700000.0,6507700000.0,254263700000.0,268395300000.0,551587600000.0,210920400000.0,1835300000.0,4255900000.0,30992500000.0,222820200000.0,47036800000.0,43997700000.0,,,
2,2020-06-30,321371400000,288235700000,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,321371400000,288235700000,27037500000.0,583812500000.0,-7764400000.0,66234500000.0,897419500000.0,1020000000.0,44681700000.0,60447700000.0,6098200000.0,52125200000.0,10989200000.0,5615500000.0,233544800000.0,52125200000.0,691931200000.0,159908800000.0,1454600000.0,2437400000.0,42234900000.0,278965300000.0,63687100000.0,55671300000.0,19584800000.0,248641400000.0,61489700000.0
