,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,38810000000,,26810000000,6260000000,95270000000,47160000000,47160000000,29550000000,-9770000000,,,,12120000000,218590000000,171430000000,123320000000,-8350000000,,26690000000,26810000000
1,2020-09-30,,,25050000000,-5770000000,15930000000,6020000000,82050000000,30370000000,30370000000,34170000000,-9590000000,,,,9100000000,190360000000,159990000000,108310000000,-5320000000,,15950000000,15930000000
2,2020-06-30,,,-6430000000,-5770000000,-5610000000,6250000000,42040000000,2940000000,2940000000,22380000000,-10160000000,,,,-610000000,117820000000,114880000000,75780000000,-9370000000,,-5820000000,-5610000000
3,2020-03-31,,,1190000000,-5750000000,2310000000,11990000000,128990000000,27260000000,27260000000,78660000000,-7880000000,,,,-690000000,178870000000,151610000000,49880000000,-26070000000,,1880000000,2310000000
