,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,inventory,accountsPayable,capitalSurplus,retainedEarnings
0,2020-12-31,18548500000,14429600000,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,18548500000,14429600000,118100000.0,2062100000.0,22400000.0,1628000000.0,20633000000.0,266800000.0,687900000.0,64700000.0,4000800000.0,18281700000.0,564600000.0,913300000.0,1691300000.0,223000000.0,18281700000.0,8596100000.0,6850900000.0,502500000.0,4010800000.0,166000000.0,1072900000.0,63300000.0,,
2,2020-06-30,19546000000,15436900000,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,19546000000,15436900000,106000000.0,1840500000.0,33000000.0,446500000.0,21419500000.0,270900000.0,425800000.0,222000000.0,4003100000.0,1847000000.0,732600000.0,936900000.0,1273200000.0,193100000.0,1847000000.0,8817700000.0,7468100000.0,292000000.0,175400000.0,206400000.0,1071400000.0,188800000.0,11660900000.0,5767200000.0
