,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,48000000,,12800000,,633900000,-19200000,-19200000,516500000,-13900000,,,,37600000,1208200000,1227400000,574300000,67200000,,10400000,12800000
1,2020-09-30,,,-647000000,22400000,-549100000,,-53500000,-588100000,-588100000,395200000,-13200000,,,,-91700000,383700000,971800000,437200000,-58900000,,-555300000,-549100000
2,2020-06-30,,,-347800000,22400000,-282400000,,21900000,-464100000,-464100000,352100000,-13400000,,,,-61100000,483400000,947500000,461500000,116300000,,-286700000,-282400000
3,2020-03-31,,,433000000,33000000,290400000,980500000,983300000,362500000,362500000,-490800000,-10500000,,,,145800000,1809300000,1446800000,826000000,70500000,,287200000,290400000
