,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,3191100000,,2414500000,3075500000,23637300000,9930300000,9930300000,9540800000,-425200000,,,,792400000,41965300000,32035000000,18328000000,-6739200000,,2398700000,2414500000
1,2020-06-30,,,39900000,,-106800000,2309500000,14296900000,5654700000,5654700000,5284900000,-353800000,,,,175500000,25261100000,19606400000,10964200000,-5614800000,,-135600000,-106800000
2,2020-03-31,,,2465000000,469400000,2484700000,6036000000,20604200000,4478100000,4478100000,9011300000,-136500000,,,,109300000,34746800000,30268700000,14142600000,-2013100000,,2355700000,2484700000
3,2019-12-31,,,1560500000,469400000,1188800000,2763500000,19874100000,7115800000,7115800000,8931800000,-295000000,,,,379000000,35536400000,28420600000,15662300000,-5555300000,,1181500000,1188800000
