,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,1903110000,,1371514000,6112802000,21458472000,0,1903110000,13442560000,,,,,531596000,21458472000,19555362000,0,0,,1371514000,1371514000
1,2020-09-30,,,1367689000,,1090251000,5670177000,17251943000,0,1367689000,10214077000,,,,,277438000,17251943000,15884254000,0,0,,1090251000,1090251000
2,2020-06-30,,,1364280000,,1000751000,5125573000,14437527000,0,1364280000,7947674000,,,,,363529000,14437527000,13073247000,0,0,,1000751000,1000751000
3,2020-03-31,,,1181359000,,763645000,13635863000,17486595000,0,1181359000,2669373000,,,,,417714000,17486595000,16305236000,0,0,,763645000,763645000
