,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,49045000000,,35265500000,11435100000,78425800000,43715300000,43715300000,19140500000,-126100000,,,,13174100000,130797200000,87081900000,52371400000,5329700000,,35870900000,35265500000
1,2020-09-30,,,45601300000,4737500000,33681700000,10704700000,73156100000,39964000000,39964000000,18441400000,-132700000,,,,11466900000,120767200000,80803200000,47611100000,5637300000,,34134400000,33681700000
2,2020-06-30,,,34315400000,4737500000,25110000000,11047500000,57786100000,25265700000,25265700000,17283000000,-158200000,,,,8688100000,97740700000,72475000000,39954600000,9049700000,,25627300000,25110000000
3,2020-03-31,,,47437300000,3774700000,38565200000,23639400000,58275400000,41470700000,41470700000,-10967000000,-146800000,,,,8170100000,105712200000,64241500000,47436800000,5966600000,,39267200000,38565200000
