,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,capitalSurplus,retainedEarnings,shortLongTermDebt
0,2020-12-31,590830100000,562620600000,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,590830100000,562620600000,12496700000.0,138407200000.0,4737500000.0,69854000000.0,733974800000.0,12305000000.0,13225400000.0,21197000000.0,15712800000.0,578525100000.0,20420000000.0,38328100000.0,115035000000.0,565700000.0,578525100000.0,237580100000.0,353762300000.0,94002900000.0,168088200000.0,23573000000.0,59100000.0,110547600000.0,42735200000.0,,,
2,2020-06-30,652732600000,645405100000,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,652732600000,645405100000,5302200000.0,117163100000.0,3774700000.0,24617800000.0,773670400000.0,12292200000.0,9797200000.0,19466400000.0,2025300000.0,22012100000.0,25561300000.0,6503500000.0,95597700000.0,562900000.0,22012100000.0,238516900000.0,395053500000.0,107211200000.0,74226000000.0,35388200000.0,59000000.0,89655300000.0,36298300000.0,91826600000.0,526601700000.0,22600000.0
