,timestamp,totalStockholderEquity,netTangibleAssets,intangibleAssets,totalLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,retainedEarnings,shortLongTermDebt
0,2020-12-31,-4261400000,-4270900000,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-30,-4261400000,-4270900000,9500000.0,33400300000.0,19136300000.0,29138900000.0,6470700000.0,3686800000.0,1986100000.0,-10732100000.0,106300000.0,10303600000.0,22357800000.0,-10732100000.0,3304800000.0,24672000000.0,1046300000.0,1766200000.0,5691000000.0,9056400000.0,3224400000.0,3221500000.0,,
2,2020-06-30,-4914303000,-4925367000,,,,,,,,,,,,,,,,,,,,,,
3,2020-03-31,-4914303000,-4925367000,11064000.0,31037488000.0,1250889000.0,26123185000.0,6470720000.0,2205808000.0,1992396000.0,750250000.0,168060000.0,487175000.0,19988654000.0,750250000.0,3370269000.0,21312085000.0,1261707000.0,4250680000.0,8678086000.0,9056438000.0,5632657000.0,2114121000.0,-12135273000.0,8903438000.0
