,timestamp,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
0,2020-12-31,,,1367100000,,1367100000,685700000,3976700000,1799900000,1799900000,1442000000,-611700000,,,,0,8390400000,6590500000,4413700000,-432800000,,1367100000,1367100000
1,2020-09-30,,,830700000,,830700000,608400000,4466300000,1307700000,1307700000,2500900000,-613300000,,,,0,10468200000,9160500000,6001900000,-477000000,,830700000,830700000
2,2020-06-30,,,-175600000,,-175600000,599900000,2061500000,294400000,294400000,1117500000,-606900000,,,,0,5518100000,5223700000,3456600000,-470000000,,-175600000,-175600000
3,2020-03-31,,,665345000,,665345000,708395000,2989157000,1243111000,1243111000,973471000,-609737000,,,,0,7084821000,5841710000,4095664000,-577766000,,665345000,665345000
